563.163 440.282 441.352
563.185 440.222 441.391
563.272 440.221 441.025
562.743 440.491 441.374
563.533 439.996 441.251
563.235 440.123 441.427
563.392 440.301 441.236
562.993 439.899 441.316
562.806 439.947 441.618
563.354 440.177 441.605
563.455 440.441 441.332
563.355 440.096 440.822
563.197 440.279 441.413
563.145 440.346 441.697
563.349 439.913 442.061
563.111 440.602 441.428
563.047 440.393 441.947
563.408 440.234 441.007
563.355 440.115 441.216
563.683 440.334 441.119
563.49 440.419 441.187
563.375 440.074 441.974
563.27 440.092 441.663
563.29 439.893 441.253
563.787 440.286 441.544
563.488 440.535 440.893
563.067 440.361 442.545
563.685 439.932 441.507
563.574 440.033 441.687
563.4 440.022 441.466
563.283 440.827 441.64
563.451 440.029 442.112
562.843 440.161 441.104
563.813 440.244 441.168
562.839 440.22 441.423
563.01 440.136 441.415
563.475 440.192 441.917
563.51 440.516 440.76
563.436 440.176 441.365
563.031 440.271 441.386
563.113 440.162 441.183
563.122 440.047 440.453
563.315 440.059 441.206
563.506 440.118 441.241
563.495 440.207 441.445
562.951 440.248 441.247
562.906 440.26 440.713
563.1 440.072 441.361
563.12 440.107 441.769
563.532 440.257 441.073
563.566 440.043 441.094
563.557 440.411 441.487
563.204 439.939 440.671
563.217 440.377 441.498
563.204 439.912 441.534
563.357 440.387 440.952
563.553 440.258 441.502
563.421 440.251 441.152
563.231 440.059 441.736
563.017 440.374 441.701
563.5 440.053 441.3
563.386 440.5 441.719
563.778 440.242 441.423
563.388 440.299 441.204
563.015 440.034 441.372
563.764 440.228 441.752
563.476 439.985 441.303
563.288 440.424 441.578
563.818 440.206 441.496
563.494 440.383 441.557
563.375 440.426 441.324
563.242 440.868 441.938
563.114 440.13 440.604
563.428 440.415 441.673
563.524 440.47 441.474
563.167 440.482 441.556
563.275 440.376 441.247
563.461 440.114 441.172
563.421 440.213 441.424
563.066 440.22 441.312
563.173 439.893 441.175
563.256 440.183 441.259
563.946 440.098 441.805
563.357 440.405 440.753
563.496 440.393 441.446
563.401 440.278 440.932
563.481 440.31 441.335
563.207 439.925 441.473
563.269 440.043 440.939
563.622 440.444 441.073
563.349 440.159 441.665
563.238 440.137 441.538
563.153 440.243 441.161
562.966 440.56 441.453
563.402 440.18 441.288
563.194 440.126 441.559
563.45 440.433 441.13
563.234 440.04 441.795
563.248 440.269 441.418
563.621 440.185 441.114
